iter	Passed	Remaining
583	1291	920
584	1293	917
585	1295	915
586	1297	913
587	1299	910
588	1301	908
589	1304	906
590	1306	904
591	1308	901
592	1310	899
593	1312	897
594	1314	894
595	1316	892
596	1318	889
597	1320	887
598	1322	885
599	1324	883
600	1326	880
601	1328	878
602	1329	875
603	1331	872
604	1333	870
605	1335	868
606	1337	865
607	1339	863
608	1341	861
609	1343	858
610	1344	856
611	1346	853
612	1349	851
613	1351	849
614	1353	847
615	1354	844
616	1356	842
617	1358	839
618	1360	837
619	1362	834
620	1365	833
621	1367	831
622	1369	828
623	1371	826
624	1373	824
625	1375	821
626	1377	819
627	1380	817
628	1382	815
629	1384	812
630	1386	810
631	1388	808
632	1390	805
633	1392	803
634	1394	801
635	1396	799
636	1398	797
637	1400	794
638	1402	792
639	1404	789
640	1406	787
641	1408	785
642	1410	783
643	1413	781
644	1415	778
645	1417	776
646	1419	774
647	1421	771
648	1423	769
649	1425	767
650	1428	765
651	1430	763
652	1432	761
653	1434	758
654	1435	756
655	1438	754
656	1441	752
657	1443	750
658	1445	748
659	1447	745
660	1449	743
661	1451	741
662	1453	739
663	1456	736
664	1458	734
665	1460	732
666	1462	730
667	1464	727
668	1466	725
669	1468	723
670	1470	720
671	1472	718
672	1474	716
673	1476	714
674	1477	711
675	1479	709
676	1481	706
677	1483	704
678	1486	702
679	1488	700
680	1490	698
681	1492	695
682	1494	693
683	1496	691
684	1498	689
685	1501	687
686	1503	685
687	1505	682
688	1507	680
689	1509	678
690	1511	675
691	1513	673
692	1516	671
693	1517	669
694	1519	667
695	1521	664
696	1523	662
697	1525	660
698	1527	657
699	1529	655
700	1531	653
701	1533	651
702	1535	648
703	1537	646
704	1539	644
705	1541	641
706	1549	642
707	1551	639
708	1553	637
709	1556	635
710	1560	634
711	1562	632
712	1564	629
713	1567	627
714	1569	625
715	1571	623
716	1573	621
717	1576	618
718	1578	616
719	1580	614
720	1582	612
721	1583	609
722	1585	607
723	1587	605
724	1590	603
725	1592	600
726	1594	598
727	1596	596
728	1598	594
729	1599	591
730	1601	589
731	1603	587
732	1605	584
733	1607	582
734	1609	580
735	1611	578
736	1613	575
737	1615	573
738	1617	571
739	1620	569
740	1622	566
741	1623	564
742	1625	562
743	1627	559
744	1629	557
745	1631	555
746	1633	553
747	1635	550
748	1637	548
749	1639	546
750	1640	543
751	1642	541
752	1644	539
753	1646	537
754	1648	534
755	1650	532
756	1652	530
757	1653	528
758	1655	525
759	1657	523
760	1659	521
761	1661	519
762	1663	516
763	1666	514
764	1668	512
765	1670	510
766	1672	507
767	1673	505
768	1675	503
769	1677	501
770	1679	498
771	1681	496
772	1684	494
773	1686	492
774	1687	490
775	1689	487
776	1691	485
777	1694	483
778	1696	481
779	1698	479
780	1700	476
781	1702	474
782	1705	472
783	1706	470
784	1708	468
785	1711	465
786	1713	463
787	1715	461
788	1718	459
789	1719	457
790	1722	455
791	1724	452
792	1727	450
793	1729	448
794	1731	446
795	1732	444
796	1735	441
797	1737	439
798	1739	437
799	1742	435
800	1744	433
801	1745	431
802	1747	428
803	1749	426
804	1751	424
805	1753	422
806	1755	419
807	1757	417
808	1759	415
809	1761	413
810	1763	411
811	1765	408
812	1767	406
813	1769	404
814	1772	402
815	1774	400
816	1775	397
817	1777	395
818	1779	393
819	1781	391
820	1783	388
821	1785	386
822	1787	384
823	1789	382
824	1791	380
825	1793	377
826	1795	375
827	1797	373
828	1800	371
829	1801	369
830	1803	366
831	1805	364
832	1806	362
833	1808	360
834	1810	357
835	1812	355
836	1814	353
837	1816	351
838	1818	348
839	1820	346
840	1822	344
841	1824	342
842	1825	340
843	1827	337
844	1830	335
845	1832	333
846	1833	331
847	1835	329
848	1837	326
849	1839	324
850	1841	322
851	1843	320
852	1845	318
853	1848	315
854	1850	313
855	1852	311
856	1854	309
857	1856	307
858	1858	305
859	1861	302
860	1863	300
861	1865	298
862	1867	296
863	1869	294
864	1871	292
865	1874	290
866	1876	287
867	1878	285
868	1880	283
869	1882	281
870	1884	279
871	1886	276
872	1889	274
873	1891	272
874	1893	270
875	1896	268
876	1898	266
877	1899	263
878	1902	261
879	1905	259
880	1907	257
881	1909	255
882	1911	253
883	1913	251
884	1915	248
885	1917	246
886	1920	244
887	1922	242
888	1923	240
889	1926	238
890	1928	235
891	1929	233
892	1932	231
893	1934	229
894	1936	227
895	1938	225
896	1940	222
897	1942	220
898	1943	218
899	1945	216
900	1947	214
901	1949	211
902	1951	209
903	1953	207
904	1955	205
905	1957	203
906	1959	200
907	1961	198
908	1963	196
909	1965	194
910	1966	192
911	1968	189
912	1970	187
913	1972	185
914	1973	183
915	1975	181
916	1977	178
917	1979	176
918	1980	174
919	1982	172
920	1984	170
921	1986	168
922	1987	165
923	1989	163
924	1991	161
925	1993	159
926	1995	157
927	1997	154
928	1998	152
929	2000	150
930	2002	148
931	2004	146
932	2006	144
933	2008	141
934	2010	139
935	2012	137
936	2014	135
937	2016	133
938	2018	131
939	2020	128
940	2022	126
941	2024	124
942	2026	122
943	2028	120
944	2029	118
945	2031	115
946	2033	113
947	2034	111
948	2036	109
949	2039	107
950	2041	105
951	2043	103
952	2045	100
953	2047	98
954	2048	96
955	2050	94
956	2052	92
957	2055	90
958	2056	87
959	2058	85
960	2060	83
961	2061	81
962	2063	79
963	2064	77
964	2067	74
965	2069	72
966	2071	70
967	2072	68
968	2074	66
969	2076	64
970	2078	62
971	2080	59
972	2082	57
973	2085	55
974	2087	53
975	2089	51
976	2091	49
977	2093	47
978	2095	44
979	2097	42
980	2099	40
981	2101	38
982	2103	36
983	2105	34
984	2107	32
985	2109	29
986	2111	27
987	2114	25
988	2116	23
989	2118	21
990	2120	19
991	2122	17
992	2123	14
993	2125	12
994	2127	10
995	2130	8
996	2132	6
997	2133	4
998	2136	2
999	2138	0
